filename,true_class,predicted_class,confidence,prob_a_noamd,prob_b_amd
a_noamd/1018113_21015_1_0.png,a_noamd,a_noamd,0.935041,0.935041,0.064959
a_noamd/1020777_21015_1_0.png,a_noamd,a_noamd,0.930313,0.930313,0.069687
a_noamd/1026486_21016_0_0.png,a_noamd,a_noamd,0.936723,0.936723,0.063277
a_noamd/1036537_21016_0_0.png,a_noamd,a_noamd,0.933955,0.933955,0.066045
a_noamd/1039702_21015_1_0.png,a_noamd,a_noamd,0.950525,0.950525,0.049475
a_noamd/1046092_21015_0_0.png,a_noamd,a_noamd,0.936787,0.936787,0.063213
a_noamd/1064334_21016_0_0.png,a_noamd,b_amd,0.802518,0.197483,0.802518
a_noamd/1103313_21016_0_0.png,a_noamd,b_amd,0.927714,0.072286,0.927714
a_noamd/1107730_21015_0_0.png,a_noamd,a_noamd,0.947211,0.947211,0.052789
a_noamd/1134266_21015_0_0.png,a_noamd,a_noamd,0.932566,0.932566,0.067434
a_noamd/1167873_21016_0_0.png,a_noamd,a_noamd,0.940045,0.940045,0.059955
a_noamd/1169358_21015_1_0.png,a_noamd,a_noamd,0.949796,0.949796,0.050204
a_noamd/1170584_21016_0_0.png,a_noamd,a_noamd,0.935380,0.935380,0.064620
a_noamd/1175155_21016_0_0.png,a_noamd,a_noamd,0.934895,0.934895,0.065105
a_noamd/1178859_21016_0_0.png,a_noamd,a_noamd,0.929067,0.929067,0.070933
a_noamd/1184375_21016_1_0.png,a_noamd,b_amd,0.874818,0.125182,0.874818
a_noamd/1186967_21016_0_0.png,a_noamd,b_amd,0.502950,0.497050,0.502950
a_noamd/1197089_21016_0_0.png,a_noamd,a_noamd,0.936478,0.936478,0.063522
a_noamd/1197343_21015_0_0.png,a_noamd,a_noamd,0.930239,0.930239,0.069761
a_noamd/1220742_21016_0_0.png,a_noamd,a_noamd,0.949461,0.949461,0.050539
a_noamd/1223318_21016_0_0.png,a_noamd,a_noamd,0.953165,0.953165,0.046835
a_noamd/1230171_21016_0_0.png,a_noamd,a_noamd,0.898620,0.898620,0.101380
a_noamd/1250082_21016_0_0.png,a_noamd,a_noamd,0.936045,0.936045,0.063955
a_noamd/1260458_21016_0_0.png,a_noamd,a_noamd,0.929780,0.929780,0.070220
a_noamd/1261685_21016_0_0.png,a_noamd,a_noamd,0.944242,0.944242,0.055758
a_noamd/1267094_21016_0_0.png,a_noamd,a_noamd,0.935743,0.935743,0.064257
a_noamd/1275770_21015_0_0.png,a_noamd,a_noamd,0.939263,0.939263,0.060737
a_noamd/1322575_21016_0_0.png,a_noamd,a_noamd,0.933533,0.933533,0.066467
a_noamd/1330933_21015_0_0.png,a_noamd,b_amd,0.818962,0.181038,0.818962
a_noamd/1334474_21015_0_0.png,a_noamd,a_noamd,0.791426,0.791426,0.208574
a_noamd/1346072_21016_0_0.png,a_noamd,a_noamd,0.773041,0.773041,0.226959
a_noamd/1350271_21016_0_0.png,a_noamd,a_noamd,0.916484,0.916484,0.083516
a_noamd/1359631_21015_1_0.png,a_noamd,a_noamd,0.962306,0.962306,0.037694
a_noamd/1372500_21016_0_0.png,a_noamd,b_amd,0.873554,0.126446,0.873554
a_noamd/1407787_21015_1_0.png,a_noamd,a_noamd,0.953748,0.953748,0.046252
a_noamd/1412963_21015_0_0.png,a_noamd,a_noamd,0.844587,0.844587,0.155413
a_noamd/1429525_21016_0_0.png,a_noamd,a_noamd,0.894560,0.894560,0.105440
a_noamd/1434744_21016_0_0.png,a_noamd,a_noamd,0.818613,0.818613,0.181387
a_noamd/1438121_21015_0_0.png,a_noamd,a_noamd,0.940775,0.940775,0.059225
a_noamd/1438217_21016_0_0.png,a_noamd,a_noamd,0.880138,0.880138,0.119862
a_noamd/1465849_21015_0_0.png,a_noamd,a_noamd,0.900231,0.900231,0.099770
a_noamd/1486263_21015_0_0.png,a_noamd,a_noamd,0.928186,0.928186,0.071814
