filename,prob_anodr,prob_bmilddr,prob_cmoderatedr,prob_dseveredr,prob_eproliferativedr,predicted
20051020_43808_0100_PP_967.png,0.999456,0.000528,0.000014,0.000001,0.000002,anodr
20051020_44261_0100_PP_1191.png,0.999438,0.000556,0.000004,0.000000,0.000002,anodr
20051020_44284_0100_PP_502.png,0.999557,0.000424,0.000009,0.000002,0.000008,anodr
20051020_44338_0100_PP_547.png,0.997437,0.002248,0.000262,0.000003,0.000050,anodr
20051020_44400_0100_PP_920.png,0.971825,0.027767,0.000383,0.000003,0.000022,anodr
20051020_44431_0100_PP_514.png,0.980711,0.019183,0.000097,0.000001,0.000009,anodr
20051020_44692_0100_PP_419.png,0.999608,0.000388,0.000003,0.000000,0.000001,anodr
20051020_44714_0100_PP_1199.png,0.998256,0.001737,0.000004,0.000000,0.000002,anodr
20051020_44982_0100_PP_486.png,0.676821,0.318628,0.004374,0.000025,0.000152,anodr
20051020_56791_0100_PP_1185.png,0.993497,0.006475,0.000021,0.000001,0.000006,anodr
20051020_57157_0100_PP_971.png,0.527117,0.468284,0.004557,0.000008,0.000034,anodr
20051020_57967_0100_PP_829.png,0.999961,0.000038,0.000000,0.000000,0.000000,anodr
20051020_58065_0100_PP_561.png,0.999963,0.000037,0.000000,0.000000,0.000000,anodr
20051020_61757_0100_PP_484.png,0.999989,0.000010,0.000000,0.000000,0.000000,anodr
20051020_62461_0100_PP_76.png,0.719910,0.231525,0.047788,0.000112,0.000665,anodr
20051020_62510_0100_PP_106.png,0.406448,0.219232,0.361417,0.001539,0.011364,anodr
20051020_62577_0100_PP_479.png,0.999734,0.000257,0.000008,0.000001,0.000001,anodr
20051020_62615_0100_PP_294.png,0.999662,0.000334,0.000003,0.000000,0.000001,anodr
20051020_63269_0100_PP_1183.png,0.993032,0.006907,0.000058,0.000000,0.000003,anodr
20051020_63337_0100_PP_471.png,0.995498,0.004485,0.000014,0.000000,0.000003,anodr
20051020_64249_0100_PP_1004.png,0.999148,0.000840,0.000008,0.000001,0.000004,anodr
20051020_64388_0100_PP_1194.png,0.999986,0.000014,0.000000,0.000000,0.000000,anodr
20051020_64653_0100_PP_124.png,0.999945,0.000054,0.000000,0.000000,0.000000,anodr
20051020_64775_0100_PP_480.png,0.999795,0.000204,0.000001,0.000000,0.000001,anodr
20051020_64836_0100_PP_1270.png,0.999936,0.000063,0.000000,0.000000,0.000000,anodr
20051021_36380_0100_PP_135.png,0.999541,0.000456,0.000002,0.000000,0.000001,anodr
20051021_36476_0100_PP_1243.png,0.999586,0.000409,0.000004,0.000000,0.000001,anodr
20051021_39845_0100_PP_315.png,0.999706,0.000292,0.000001,0.000000,0.000001,anodr
20051021_39914_0100_PP_1352.png,0.992533,0.007428,0.000035,0.000001,0.000003,anodr
20051021_51418_0100_PP_18.png,0.999912,0.000087,0.000001,0.000000,0.000001,anodr
20051021_51476_0100_PP_150.png,0.998837,0.001099,0.000060,0.000000,0.000003,anodr
20051021_51936_0100_PP_1379.png,0.990399,0.009476,0.000104,0.000002,0.000019,anodr
20051021_51994_0100_PP_1283.png,0.959573,0.040123,0.000249,0.000004,0.000050,anodr
20051021_57798_0100_PP_1322.png,0.971575,0.028273,0.000121,0.000003,0.000028,anodr
20051021_57862_0100_PP_372.png,0.938374,0.061183,0.000413,0.000004,0.000027,anodr
20051021_57975_0100_PP_517.png,0.999793,0.000201,0.000006,0.000000,0.000001,anodr
20051021_58035_0100_PP_1138.png,0.999769,0.000228,0.000002,0.000000,0.000000,anodr
20051021_58388_0100_PP_1300.png,0.999710,0.000285,0.000002,0.000000,0.000002,anodr
20051021_58522_0100_PP_50.png,0.999944,0.000055,0.000000,0.000000,0.000000,anodr
20051109_57843_0400_PP_1109.png,0.999171,0.000820,0.000008,0.000000,0.000001,anodr
20051109_59969_0400_PP_1079.png,0.991556,0.008369,0.000051,0.000002,0.000022,anodr
20051109_60031_0400_PP_528.png,0.963786,0.034196,0.001798,0.000032,0.000189,anodr
20051109_60136_0400_PP_905.png,0.997619,0.002347,0.000021,0.000001,0.000012,anodr
20051110_33960_0400_PP_35.png,0.995832,0.004112,0.000043,0.000001,0.000012,anodr
20051110_34013_0400_PP_151.png,0.999572,0.000419,0.000006,0.000000,0.000002,anodr
20051110_35239_0400_PP_836.png,0.999877,0.000122,0.000000,0.000000,0.000000,anodr
20051110_35279_0400_PP_1033.png,0.999848,0.000147,0.000004,0.000000,0.000001,anodr
20051110_35332_0400_PP_497.png,0.984162,0.015638,0.000186,0.000004,0.000010,anodr
20051110_37992_0400_PP_1043.png,0.960466,0.039455,0.000066,0.000001,0.000011,anodr
20051110_38111_0400_PP_429.png,0.993493,0.006470,0.000028,0.000001,0.000008,anodr
20051110_38156_0400_PP_477.png,0.990811,0.009155,0.000030,0.000000,0.000004,anodr
20051110_38280_0400_PP_83.png,0.999659,0.000340,0.000000,0.000000,0.000001,anodr
20051110_38313_0400_PP_1041.png,0.999904,0.000093,0.000001,0.000000,0.000002,anodr
20051110_38352_0400_PP_934.png,0.999762,0.000225,0.000005,0.000001,0.000007,anodr
20051110_38472_0400_PP_1127.png,0.952978,0.046610,0.000338,0.000011,0.000064,anodr
20051110_38507_0400_PP_1190.png,0.949533,0.050057,0.000372,0.000004,0.000034,anodr
20051116_43388_0400_PP_344.png,0.981855,0.017873,0.000248,0.000004,0.000021,anodr
20051116_43585_0400_PP_950.png,0.995493,0.004487,0.000016,0.000000,0.000004,anodr
20051116_43710_0400_PP_95.png,0.999830,0.000166,0.000002,0.000000,0.000002,anodr
20051116_43721_0400_PP_363.png,0.999520,0.000464,0.000006,0.000001,0.000009,anodr
20051116_43785_0400_PP_445.png,0.992987,0.006944,0.000057,0.000002,0.000011,anodr
20051116_43801_0400_PP_325.png,0.998727,0.001262,0.000006,0.000000,0.000005,anodr
20051116_44648_0400_PP_1036.png,0.997321,0.002532,0.000108,0.000003,0.000036,anodr
20051117_37042_0400_PP_1119.png,0.998188,0.001735,0.000045,0.000001,0.000030,anodr
20051117_37051_0400_PP_1136.png,0.999109,0.000869,0.000019,0.000000,0.000003,anodr
20051117_37078_0400_PP_559.png,0.999614,0.000380,0.000004,0.000000,0.000002,anodr
20051117_37100_0400_PP_1083.png,0.999777,0.000212,0.000008,0.000000,0.000002,anodr
20051117_37130_0400_PP_938.png,0.992057,0.007861,0.000070,0.000004,0.000008,anodr
20051117_37155_0400_PP_84.png,0.997552,0.002303,0.000127,0.000005,0.000014,anodr
20051117_37185_0400_PP_404.png,0.992811,0.007143,0.000040,0.000001,0.000005,anodr
20051117_37321_0400_PP_947.png,0.998247,0.001712,0.000028,0.000001,0.000012,anodr
20051130_53586_0400_PP_1121.png,0.997121,0.002844,0.000030,0.000001,0.000005,anodr
20051130_53623_0400_PP_894.png,0.999827,0.000170,0.000002,0.000000,0.000000,anodr
20051130_53663_0400_PP_510.png,0.999926,0.000074,0.000000,0.000000,0.000000,anodr
20051130_53991_0400_PP_277.png,0.997929,0.002052,0.000016,0.000000,0.000002,anodr
20051130_54030_0400_PP_946.png,0.999193,0.000795,0.000009,0.000000,0.000002,anodr
20051130_54077_0400_PP_1117.png,0.998640,0.001356,0.000004,0.000000,0.000001,anodr
20051130_54121_0400_PP_1281.png,0.999584,0.000414,0.000001,0.000000,0.000001,anodr
20051130_54257_0400_PP_506.png,0.999834,0.000161,0.000004,0.000000,0.000001,anodr
20051130_54301_0400_PP_93.png,0.997412,0.002525,0.000056,0.000001,0.000006,anodr
20051130_54323_0400_PP_978.png,0.996118,0.003823,0.000046,0.000002,0.000011,anodr
20051130_54476_0400_PP_394.png,0.998793,0.001202,0.000002,0.000000,0.000003,anodr
20051130_54498_0400_PP_1217.png,0.999403,0.000591,0.000003,0.000000,0.000002,anodr
20051130_54595_0400_PP_940.png,0.043361,0.951186,0.005331,0.000004,0.000118,bmilddr
20051130_54802_0400_PP_550.png,0.999088,0.000897,0.000010,0.000001,0.000003,anodr
20051130_54846_0400_PP_289.png,0.998969,0.001006,0.000015,0.000001,0.000010,anodr
20051130_54943_0400_PP_1044.png,0.999960,0.000040,0.000000,0.000000,0.000000,anodr
