filename,prob_anormal,prob_cglaucoma,predicted
RET027OD.jpg,0.999510,0.000490,anormal
RET035OD.jpg,0.695366,0.304634,anormal
RET035OS.jpg,0.750671,0.249329,anormal
RET096OD.jpg,0.777041,0.222959,anormal
RET098OD.jpg,0.521052,0.478948,anormal
RET107OD.jpg,0.799732,0.200268,anormal
RET129OS.jpg,0.710196,0.289804,anormal
RET131OD.jpg,0.796329,0.203671,anormal
RET132OD.jpg,0.990408,0.009592,anormal
RET133OD.jpg,0.832460,0.167540,anormal
RET137OD.jpg,0.692957,0.307043,anormal
RET141OS.jpg,0.694019,0.305981,anormal
RET146OS.jpg,0.709579,0.290421,anormal
RET150OS.jpg,0.764511,0.235489,anormal
RET153OS.jpg,0.909860,0.090140,anormal
RET163OS.jpg,0.733149,0.266851,anormal
RET168OS.jpg,0.717382,0.282618,anormal
RET175OD.jpg,0.711098,0.288902,anormal
RET177OD.jpg,0.982035,0.017965,anormal
RET177OS.jpg,0.997024,0.002976,anormal
RET178OD.jpg,0.993968,0.006032,anormal
RET181OS.jpg,0.833711,0.166289,anormal
RET182OD.jpg,0.982948,0.017052,anormal
RET184OD.jpg,0.999321,0.000679,anormal
RET184OS.jpg,0.628224,0.371776,anormal
RET190OS.jpg,0.627505,0.372495,anormal
RET191OS.jpg,0.996764,0.003236,anormal
RET192OS.jpg,0.591131,0.408869,anormal
RET197OD.jpg,0.773237,0.226763,anormal
RET198OD.jpg,0.800395,0.199605,anormal
RET198OS.jpg,0.665626,0.334374,anormal
RET199OD.jpg,0.977393,0.022607,anormal
RET200OD.jpg,0.795655,0.204345,anormal
RET200OS.jpg,0.841628,0.158372,anormal
RET201OD.jpg,0.970607,0.029393,anormal
RET202OD.jpg,0.965776,0.034224,anormal
RET203OD.jpg,0.999087,0.000913,anormal
RET203OS.jpg,0.999606,0.000394,anormal
RET210OD.jpg,0.997056,0.002944,anormal
RET211OS.jpg,0.789059,0.210941,anormal
RET212OD.jpg,0.690470,0.309530,anormal
RET213OS.jpg,0.542376,0.457624,anormal
RET216OD.jpg,0.989042,0.010958,anormal
RET216OS.jpg,0.996606,0.003394,anormal
RET220OD.jpg,0.943732,0.056268,anormal
RET220OS.jpg,0.999661,0.000339,anormal
RET224OD.jpg,0.940871,0.059129,anormal
RET228OS.jpg,0.965551,0.034449,anormal
RET231OD.jpg,0.965134,0.034866,anormal
RET237OD.jpg,0.957949,0.042051,anormal
RET245OS.jpg,0.908935,0.091065,anormal
RET252OS.jpg,0.737159,0.262841,anormal
RET253OD.jpg,0.865510,0.134491,anormal
RET253OS.jpg,0.985936,0.014064,anormal
RET256OD.jpg,0.859096,0.140904,anormal
RET258OD.jpg,0.778210,0.221790,anormal
RET259OD.jpg,0.716100,0.283900,anormal
RET261OS.jpg,0.999283,0.000717,anormal
RET267OD.jpg,0.760642,0.239358,anormal
RET271OS.jpg,0.939965,0.060035,anormal
RET272OD.jpg,0.922752,0.077248,anormal
RET277OS.jpg,0.524382,0.475618,anormal
RET282OD.jpg,0.999052,0.000948,anormal
RET282OS.jpg,0.999836,0.000164,anormal
RET283OS.jpg,0.905230,0.094770,anormal
RET285OS.jpg,0.949977,0.050023,anormal
RET291OD.jpg,0.972547,0.027453,anormal
RET002OD.jpg,0.422588,0.577412,cglaucoma
RET006OS.jpg,0.482984,0.517016,cglaucoma
RET053OD.jpg,0.558166,0.441834,anormal
RET066OS.jpg,0.731344,0.268656,anormal
RET089OD.jpg,0.693773,0.306227,anormal
RET091OD.jpg,0.768859,0.231141,anormal
RET102OD.jpg,0.911458,0.088542,anormal
RET106OD.jpg,0.537437,0.462563,anormal
RET114OS.jpg,0.704288,0.295712,anormal
RET120OD.jpg,0.413399,0.586601,cglaucoma
RET120OS.jpg,0.950915,0.049085,anormal
RET122OD.jpg,0.770269,0.229731,anormal
RET122OS.jpg,0.528641,0.471359,anormal
RET276OS.jpg,0.594280,0.405720,anormal
